Id_Instal,distance_m,Nom_Carrer,Num_Carrer,Nom_Barri,Nom_Districte,Font,has_measurements,Latitud,Longitud,idTram,Descripció
9086,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
8767,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
9786,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
9770,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
8267,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
8866,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
5847,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
7846,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
6127,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
20036,90.6,Osca,10.0,Sants,Sants-Montjuïc,OCI,False,41.376152,2.138468,134.0,Carrer de Sants (Premià a Carles III)
3509,92.4,Sol,21.0,la Vila de Gràcia,Gràcia,OCI,False,41.401561,2.156465,468.0,Travessera de Gràcia (Gran de Gràcia a Escorial)
10466,92.8,Mare de Déu de Port,101.0,la Marina del Prat Vermell,Sants-Montjuïc,INFRAESTRUCTURES FERROVIÀRIES,True,41.352015,2.152321,529.0,Ronda Litoral (Estació de Can Tunis a Passeig de la Zona Franca)
1453,93.3,Santa Coloma,39.0,Sant Andreu,Sant Andreu,OCI,False,41.428896,2.192537,336.0,Virgili (Sant Adrià a Pare Manyanet)
9726,93.8,Blai,42.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374103,2.163451,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
7826,93.8,Blai,42.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374103,2.163451,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
20003,93.8,Blai,42.0,el Poble-sec,Sants-Montjuïc,OCI,True,41.374103,2.163451,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
10487,93.8,Blai,42.0,el Poble-sec,Sants-Montjuïc,OCI,False,41.374103,2.163451,167.0,Paral.lel (Ronda de Sant Pau a Calàbria)
