Id_Instal,Codi_Carrer,Tipus_Via,Nom_Carrer,Num_Carrer,Codi_Barri,Nom_Barri,Codi_Districte,Nom_Districte,Latitud,Longitud,Data_Instalacio,Data_DesInstalacio,Font
20016,231400,C,Nou de Zurbano,7,02,el Barri Gòtic,01,Ciutat Vella,41.379384,2.175888,25/09/2025,,OCI
20017,284804,C,Robador,31,01,el Raval,01,Ciutat Vella,41.379396,2.170909,25/09/2025,,OCI
20018,274800,C,Ramón y Cajal,78,31,la Vila de Gràcia,06,Gràcia,41.403472,2.160135,07/10/2025,,OCI
20019,701367,Rbla,Raval,15,01,el Raval,01,Ciutat Vella,41.379146,2.169178,02/10/2025,12/01/2026,OCI
20020,222501,C,de Moià,8,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.395167,2.1517,10/10/2025,12/01/2026,OCI
20021,359109,Pg,Lluís Companys,10,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.389906,2.183003,16/10/2025,,OCI
20022,359109,Pg,Lluís Companys,7,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,41.390211,2.180876,16/10/2025,,OCI
20023,209900,Av,Meridiana,218,63,Navas,09,Sant Andreu,41.41584,2.187103,16/10/2025,,TRÀNSIT
20024,249304,C,Pere IV,416,71,Provençals del Poblenou,10,Sant Martí,41.412182,2.204887,30/04/2025,,TRÀNSIT
20025,350308,C,València,488,06,la Sagrada Família,02,Eixample,41.404079,2.178587,27/10/2025,,TRÀNSIT
20026,167505,Pl,Joanic,7,31,la Vila de Gràcia,06,Gràcia,41.405521,2.16221,28/10/2025,,OCI
20027,50009,C,Bruniquer,45,31,la Vila de Gràcia,06,Gràcia,41.405336,2.161687,28/10/2025,,OCI
20028,348408,C,Tuset,30,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,41.396326,2.151524,30/10/2025,21/01/2026,OCI
20029,110304,C,Enric Granados,30,08,l'Antiga Esquerra de l'Eixample,02,Eixample,41.390261,2.159181,30/10/2025,,OCI
20030,29206,C,Àvila,162,66,el Parc i la Llacuna del Poblenou,10,Sant Martí,41.401859,2.189006,06/11/2025,,OCI
